hotel_134,Home at Rome Vatican Suites,"13 Piazza Stazione di San Pietro, Aurelio, 00165 Rome, Italy",Rome
hotel_135,247 Luxury Rooms Trastevere,"Viale Di Trastevere 247, Gianicolense, 00153 Rome, Italy",Rome
hotel_136,Domus Domas - Golden Keys Collection,"Via Carlo Alberto 53, Central Station, 00185 Rome, Italy",Rome
hotel_137,Moderno Hotel Roma,"Via Magenta 2, Central Station, 00185 Rome, Italy",Rome
hotel_138,48 Fourty Eight Luxury Suites,"48 Via Angelo Brunetti Interno 11;12;13 Piano 4, Spagna, 00186 Rome, Italy",Rome
hotel_139,Hotel Millerose,"Via Daniele Manin 58, Central Station, 00185 Rome, Italy",Rome
hotel_140,Stefano House Roma,"Piazza del Risorgimento 14, Vaticano Prati, 00192 Rome, Italy",Rome
hotel_141,Villa Pirandello,"Via Antonio Bosio 15B, Nomentano, 00161 Rome, Italy",Rome
hotel_142,Hotel Lunetta,"Piazza Del Paradiso 68, Navona, 00186 Rome, Italy",Rome
hotel_143,Charme Spagna Boutique Hotel,"37 Via della Mercede, Spagna, 00187 Rome, Italy",Rome
hotel_144,St. Peter Vatican Rooms,"Via Otranto 18 piano 3,scala A,interno 5, Vaticano Prati, 00192 Rome, Italy",Rome
hotel_145,The Couper Colonna,"35 Via della Colonna Antonina, Pantheon, 00186 Rome, Italy",Rome
hotel_146,Esposizione Palace Hotel,"Via Nazionale 66, Rione Monti, 00184 Rome, Italy",Rome
hotel_200,CPH Studio Hotel,"Krimsvej 29, Amager Øst, 2300 Copenhagen, Denmark",Copenhagen
hotel_201,Best Western Hotel Hebron,"Helgolandsgade 4, Vesterbro, 1653 Copenhagen, Denmark",Copenhagen
hotel_202,AC Hotel by Marriott Bella Sky Copenhagen,"Center Boulevard 5, Amager Vest, 2300 Copenhagen, Denmark",Copenhagen
hotel_203,Motel One Copenhagen,"Løngangstræde 27, 1468 Copenhagen, Denmark",Copenhagen
hotel_204,City Hotel Nebo,"Istedgade 6, Vesterbro, 1650 Copenhagen, Denmark",Copenhagen
hotel_205,WIDE Hotel,"61 Studiestræde, 1554 Copenhagen, Denmark",Copenhagen
hotel_206,Cabinn City,"Mitchellsgade 14, 1568 Copenhagen, Denmark",Copenhagen
hotel_207,Hotel Kong Arthur,"Nørre Søgade 11, 1370 Copenhagen, Denmark",Copenhagen
hotel_208,Best Western Plus Airport Hotel,"Kastruplundgade 15, DK-2770 Copenhagen, Denmark",Copenhagen
hotel_209,Comfort Hotel Copenhagen Airport,"Ellehammersvej Kastrup, 2770 Copenhagen, Denmark",Copenhagen
hotel_210,Zoku Copenhagen,"Amagerfælledvej 108, Amager Vest, 2300 Copenhagen, Denmark",Copenhagen
hotel_211,Ibsens Hotel,"Vendersgade 23, 1363 Copenhagen, Denmark",Copenhagen
