price_id,hotel_id,room_type,total_price
price_669,hotel_627,Double bed,"Der aktuelle Preis beträgt 143 €.143 €"
price_672,hotel_628,Double bed,"Der aktuelle Preis beträgt 189 €.189 €"
price_675,hotel_629,Double bed,"Der aktuelle Preis beträgt 179 €.179 €"
price_678,hotel_630,Double bed,"Der aktuelle Preis beträgt 117 €.117 €"
price_681,hotel_631,Double bed,"Der aktuelle Preis beträgt 35 €.35 €"
price_684,hotel_632,Double bed,"Der aktuelle Preis beträgt 113 €.113 €"
price_687,hotel_633,Double bed,"Der aktuelle Preis beträgt 194 €.194 €"
price_690,hotel_634,Double bed,"Der aktuelle Preis beträgt 103 €.103 €"
price_693,hotel_635,Double bed,"Der aktuelle Preis beträgt 165 €.165 €"
price_696,hotel_636,Double bed,"Der aktuelle Preis beträgt 276 €.276 €"
price_699,hotel_637,Double bed,"Der aktuelle Preis beträgt 69 €.69 €"
price_705,hotel_639,Double bed,"Der aktuelle Preis beträgt 107 €.107 €"
price_708,hotel_640,Double bed,"Der aktuelle Preis beträgt 78 €.78 €"
price_711,hotel_641,Double bed,"Der aktuelle Preis beträgt 107 €.107 €"
price_714,hotel_642,Double bed,"Der aktuelle Preis beträgt 93 €.93 €"
price_717,hotel_643,Double bed,"Der aktuelle Preis beträgt 134 €.134 €"
price_720,hotel_644,Double bed,"Der aktuelle Preis beträgt 133 €.133 €"
price_723,hotel_645,Double bed,"Der aktuelle Preis beträgt 204 €.204 €"
price_726,hotel_646,Double bed,"Der aktuelle Preis beträgt 61 €.61 €"
price_729,hotel_647,Double bed,"Der aktuelle Preis beträgt 179 €.179 €"
price_732,hotel_648,Double bed,"Der aktuelle Preis beträgt 109 €.109 €"
price_735,hotel_649,Double bed,"Der aktuelle Preis beträgt 131 €.131 €"
price_738,hotel_650,Double bed,"Der aktuelle Preis beträgt 156 €.156 €"
price_741,hotel_651,Double bed,"Der aktuelle Preis beträgt 162 €.162 €"
price_744,hotel_652,Double bed,"Der aktuelle Preis beträgt 145 €145 €"
price_747,hotel_653,Double bed,"Der aktuelle Preis beträgt 60 €.60 €"
price_750,hotel_654,Double bed,"Der aktuelle Preis beträgt 215 €.215 €"
