hotel_id,hotel_name,hotel_address,hotel_city
hotel_570,BDB Rooms Trastevere,Via Benedetta 16  Rome  RM  00153,"Rome, Italy"
hotel_571,Hotel Forum,Via Tor de' Conti  25  Rome  RM  184,"Rome, Italy"
hotel_572,TrastevereInn,Vicolo de' Cinque 16  Rome  RM  00153,"Rome, Italy"
hotel_573,Hotel San Valentino,Via Ezio 55  Rome  RM  00192,"Rome, Italy"
hotel_574,Corso 281 Luxury Suites Roma,Via del Corso  281  Rome  RM  186,"Rome, Italy"
hotel_575,Maison Giulia,Via Giulia 189/a  Rome  RM  186,"Rome, Italy"
hotel_576,magenta collection navona,184 Corso Vittorio Emanuele II  Rome  RM  00186,"Rome, Italy"
hotel_577,Hotel Smeraldo,Via dei Chiavari 20  Rome  RM  186,"Rome, Italy"
hotel_578,Little Queen Pantheon Residence,Via del Collegio Capranica 4  Rome  RM  186,"Rome, Italy"
hotel_579,Hotel Navona,Via dei Sediari 8  Rome  RM  186,"Rome, Italy"
hotel_580,Trastevere Rooms,Viale Trastevere  108  Rome  RM  153,"Rome, Italy"
hotel_581,163 Boutique Hotel,Via Nazionale 163  Rome  RM  00184,"Rome, Italy"
hotel_582,Rhea Silvia Luxury Navona,Corsia Agonale  10  Rome  RM  00187,"Rome, Italy"
hotel_583,Hotel Monte Cenci,Via Beatrice Cenci  10  Rome  RM  00186,"Rome, Italy"
hotel_584,Hotel Centro Cavour,Via Cavour 237  Rome  RM  184,"Rome, Italy"
hotel_585,Salotto Monti,Via della Consulta 1b  Rome  RM  184,"Rome, Italy"
hotel_586,Daplace - Arena House,Via Marco Aurelio 37  Rome  RM  00184,"Rome, Italy"
hotel_587,La Farfalla,Via Giovanni Lanza 99  Rome  RM  00184,"Rome, Italy"
hotel_588,Residenza Belli,Via Goffredo Mameli  47  Rome  RM  153,"Rome, Italy"
hotel_589,Sweet Dreams Roma,Via Nazionale 163  Rome  RM  184,"Rome, Italy"
hotel_590,Hotel Hiberia,Via XXIV Maggio  8  Rome  RM  187,"Rome, Italy"
hotel_591,BePlace Aventino,Via di S. Saba  Rome  RM  00153,"Rome, Italy"
hotel_592,Relais Servio Tullio,Via Nazionale 243  Rome  RM  184,"Rome, Italy"
hotel_593,Seven Suites,Via Nicola Zabaglia  11  Rome  RM  153,"Rome, Italy"
hotel_594,Domus Mea,Via Calatafimi 31  Rome  RM  00185,"Rome, Italy"
hotel_595,Sonder at Prati Lungotevere,17 Lungotevere Prati  Rome  RM  00193,"Rome, Italy"
hotel_596,Vittoriano Suite,Via d'Aracoeli  3  Rome  RM  00186,"Rome, Italy"
hotel_597,Excellence Suite,Via della Purificazione 38  Rome  RM  186,"Rome, Italy"
hotel_598,Nerva Accomodation Cavour,150 Via Cavour  Rome  RM  00184,"Rome, Italy"
hotel_599,H10 Palazzo Galla,Via IV Novembre  102  Rome  RM  00187,"Rome, Italy"
hotel_600,Hotel Ripa Roma,Via Degli Orti Di Trastevere 3  Rome  RM  153,"Rome, Italy"
hotel_601,"Radisson Collection Hotel, Roma Antica",VIA DELLE BOTTEGHE OSCURE 46  Rome  RM  00186,"Rome, Italy"
hotel_602,Sonder Testaccio,Via Beniamino Franklin 4  Rome  RM  153,"Rome, Italy"
hotel_603,Nerva Boutique Hotel,Via Tor de' Conti 3/4  Rome  RM  184,"Rome, Italy"
hotel_604,Trastevere Royal Suite Trilussa,Lungotevere Raffaello Sanzio 1  Rome  RM  153,"Rome, Italy"
hotel_605,Relais La Maison De Luxe,Via Agostino Depretis 70  Rome  RM  184,"Rome, Italy"
hotel_606,DoubleTree by Hilton Dubai M Square Hotel & Residences,M Square Building  Al Mankhool  Dubai,Dubai
hotel_607,Rove Trade Centre,2nd December Road  Jafiliya  Trade Centre  Dubai  119444,Dubai
hotel_608,Wyndham Dubai Deira,Sherina Plaza 4 Al Corniche Rd 111  Dubai  Dubai,Dubai
hotel_609,Days Hotel By Wyndham Dubai Deira,One Deira Plaza Gold Souk Metro Station  Al Corniche - 111  Dubai  119303,Dubai
hotel_610,SKY VIEW HOTEL,Al Khor St  Dubai  Dubai,Dubai
hotel_611,Rove La Mer Beach,La Mer South  Jumeirah 1  Dubai  ARE  119444,Dubai
hotel_612,Grand Mercure Dubai City,61B Street  Garhoud  Next to GGICO Metro  Dubai  13868,Dubai
