hotel_id,hotel_name,hotel_address,hotel_city,hotel_UUID
hotel_409,Comfort Hotel Tokyo Higashi Nihombashi,"Tokyo-to, Tokyo, Chuo-ku Nihombashi Bakurocho 1-10-11, Japan",Tokyo,96b503cc-3cf4-4c0e-a4e8-50261ce996fb
hotel_410,KOKO HOTEL Tsukiji Ginza,"Tokyo-to, Tokyo, 6-8-8 Tsukiji, Chuo-ku, Japan",Tokyo,5283f4fd-dacd-4264-8c95-ef203e7770e7
hotel_411,"The Prince Park Tower Tokyo - Preferred Hotels & Resorts, LVX Collection","Tokyo-to, Tokyo, Minato-ku, Shiba Koen 4-8-1 , Japan",Tokyo,df1b01e0-d941-4f75-a8ac-f3a3d97a883f
hotel_412,hotel MONday Tokyo Nishikasai,"Tokyo-to, Tokyo, Edogawa-ku Nishikasai 6-8-7, Japan",Tokyo,84597220-e127-412c-b0f2-7dcc8efbfa90
hotel_413,Richmond Hotel Premier Tokyo Schole,"Tokyo-to, Tokyo, Sumida-ku Oshiage 1, Japan",Tokyo,905557fb-5e16-40e0-a206-18b6016d2edd
hotel_414,Best Western Hotel Fino Tokyo Akasaka,"Tokyo-to, Tokyo, Minato-ku, Akasaka 3-7-12, Japan",Tokyo,5e5b348f-93a6-4f90-93b2-3314419b42be
hotel_415,Grand Prince Hotel Shin Takanawa,"Tokyo-to, Tokyo, Minato-ku, Takanawa 3-13-1, Japan",Tokyo,9f82f820-b923-41cd-b0bb-9257d7c4ab75
hotel_416,Hotel Resol Akihabara,"Tokyo-to, Tokyo, Chiyoda-ku Kanda Sudacho 2-25, Japan",Tokyo,dd64b1c8-6343-4a4b-bde7-ca949a7dd409
hotel_417,Hotel Wing International Premium Tokyo Yotsuya,"Tokyo-to, Tokyo, Shinjuku-ku Yotsuya3-14-1, Japan",Tokyo,0b870e3f-3264-451d-8727-c135fd407605
hotel_418,ICI HOTEL Asakusabashi,"Tokyo-to, Tokyo, Taito-ku Asakusabashi 1-26-6, Japan",Tokyo,9a70f619-3601-4a26-b4b8-27800eb3b52d
hotel_419,MIMARU Tokyo Kinshicho,"Tokyo-to, Tokyo, Sumida-ku Kotobashi 4-11-5, Japan",Tokyo,bda2a8b0-3f72-4aa7-ad7d-aca715628cd6
hotel_420,Hotel Gracery Shinjuku,"Tokyo-to, Tokyo, Shinjuku-ku Kabukicho 1-19-1, Japan",Tokyo,b5f4d676-314b-405e-a9c2-6a9ebf416f2e
hotel_421,"Mandarin Oriental, Tokyo","Tokyo-to, Tokyo, Chuo-ku Nihonbashi Muromachi 2-1-1, Japan",Tokyo,14ae3383-94e1-4eaf-903d-99d1f89d5feb
hotel_422,THE KITANO HOTEL TOKYO,"Tokyo-to, Tokyo, Chiyoda-ku Hirakawacho 2-16-15 , Japan",Tokyo,3eb44ee7-7749-4482-a0b7-9d11f2f10a24
hotel_423,Minn Nishi Kasai,"Tokyo-to, Tokyo, Edogawa-ku Nishikasai 3-13-17, Japan",Tokyo,0d95eab2-d1a2-4341-b520-5e93a2f4836b
hotel_424,hotel MONday Premium Ueno Okachimachi,"Tokyo-to, Tokyo, Taito-ku, Taito 3-41-7, Japan",Tokyo,d498c670-d25a-4035-a71b-00f5d011e100
hotel_425,Tokyo Bay Shiomi Prince Hotel,"Tokyo-to, Tokyo, Koto-ku Shiomi 2-8-16, Japan",Tokyo,d28c4ba9-20e0-4073-bae6-80f0e35101da
hotel_426,Minn Kasai,"Tokyo-to, Tokyo, Edogawa-ku Nakakasai 3-32-13, Japan",Tokyo,2923cbfe-37fc-4efa-bacb-4d54cc45da58
hotel_427,Hotel BaliAn Resort Shinjuku Glamping,"Tokyo-to, Tokyo, 新宿区歌舞伎町2-29-11, Japan",Tokyo,8ba31b3b-e48b-4683-80e5-ecd00e28e018
hotel_428,HOTEL PetitBali Higashi-Shinjuku,"Tokyo-to, Tokyo, Shinjuku-ku Kabukicho 2-5-1 , Japan",Tokyo,2ab6ea82-b137-4c0a-8eae-55037cbcb40c
hotel_429,Candeo Hotels Tokyo Roppongi,"Tokyo-to, Tokyo, Minato-ku Roppongi 6-7-11, Japan",Tokyo,2b15d8db-789b-48ca-8a8d-cf1b271fb705
hotel_430,Hotel Tokyo Trip Ueno Nishi Nippori,"Tokyo-to, Tokyo, Arakawa-ku, Nishinippori 5-18-14, Japan",Tokyo,d0222172-3ad9-4003-b947-58b0bad71c5f
hotel_431,Grand Prince Hotel Takanawa,"Tokyo-to, Tokyo, Minato-ku, Takanawa 3-13-1, Japan",Tokyo,f0111197-736c-4193-b50c-b3bb91b44210
hotel_432,ICI HOTEL Ueno Shin Okachimachi,"Tokyo-to, Tokyo, Taito-ku Taito 4-23-11, Japan",Tokyo,28c5c266-f282-4724-a574-fbddec72b635
hotel_433,MONday Apart Premium UENO OKACHIMACHI,"Tokyo-to, Tokyo, Taito-ku Ueno 3-8-8, Japan",Tokyo,c09c8142-1ef4-4f5b-a8c1-d23a4fac9837
hotel_434,KOKO HOTEL Ginza-1chome,"Tokyo-to, Tokyo, Chuo-ku Ginza1-9-5, Japan",Tokyo,1163bd6e-a79a-4fda-9a8c-897774bc4c5a
hotel_435,KOKO HOTEL Premier Nihonbashi Hamacho,"Tokyo-to, Tokyo, Chuo-ku Nihonbashihamacho 2-30-4, Japan",Tokyo,0c125913-116b-4e40-930c-5ad739721dbe
hotel_436,Hotel Balian Resort Shinjuku Honten,"Tokyo-to, Tokyo, Shinjuku-ku Kabukicho 2‐1-11, Japan",Tokyo,233eef3f-84a1-4eba-9bff-5a32258b8d40
hotel_437,Minn Akihabara,"Tokyo-to, Tokyo, Taito-ku Taito 1-22-3, Japan",Tokyo,31ddb22b-6365-4ada-8201-a66f0f1b41f8
hotel_438,Asakusa View Hotel Annex Rokku,"Tokyo-to, Tokyo, Taito-ku Asakusa 2-9-10, Japan",Tokyo,81c3bfa9-165c-49db-962d-659a8da7de94
hotel_439,Daiwa Roynet Hotel Tokyo Akabane,"Tokyo-to, Tokyo, Kita-ku, Akabane Minami 1-9-13, Japan",Tokyo,03b141a9-f884-45bb-afe4-c3e2b4d7fc65
hotel_440,COGO Ryogoku,"Tokyo-to, Tokyo, Ryogoku 4-30-5, Japan",Tokyo,3a16d1d2-78b0-42b1-a9a0-98a4e43edfd6
